                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.3373,                 1.8526,                 1.4264,                0.24782,                0.29198,                0.16402,                0.03374,                 3.5326,                 2.7279,                 1.5167,               0.009997,               0.009997,               0.009997
                     35,                   3.27,                 1.7168,                 1.4167,                 0.3951,                0.45758,                0.33041,                0.07741,                 2.9038,                 1.5164,                 1.3274,              0.0099969,              0.0099969,              0.0099969
                     36,                 3.3553,                 1.6772,                 1.3754,                0.18849,                0.22177,                0.11528,                0.02147,                   3.44,                 1.9248,                 1.4461,              0.0099967,              0.0099967,              0.0099967
                     37,                 3.1992,                  1.696,                 1.4081,                0.51572,                0.49327,                0.43965,                0.11007,                 3.0667,                 1.4178,                 1.3382,              0.0099965,              0.0099965,              0.0099965
                     38,                 3.1274,                 1.5321,                 1.3881,                0.38104,                0.41662,                0.32474,                0.07096,                 3.0852,                 1.5387,                  1.396,              0.0099963,              0.0099963,              0.0099963
                     39,                 3.4502,                 1.6895,                 1.4652,                0.38104,                0.41662,                0.32474,                0.07096,                 3.0852,                 1.5387,                  1.396,              0.0099961,              0.0099961,              0.0099961
                     40,                 3.3306,                 1.5594,                 1.4215,                0.37323,                0.34523,                 0.2799,                0.05667,                 3.2507,                 1.6242,                 1.4002,              0.0099959,              0.0099959,              0.0099959
                     41,                 3.2027,                 1.5076,                 1.3767,                 0.6089,                0.55647,                0.58594,                0.17184,                 2.6337,                 1.2922,                 1.2199,              0.0099957,              0.0099957,              0.0099957
                     42,                 2.9466,                 1.4786,                 1.3389,                0.39831,                0.40208,                0.30907,                0.06599,                 2.9825,                 1.5701,                 1.3021,              0.0099954,              0.0099954,              0.0099954
                     43,                 3.0166,                 1.5864,                 1.3382,                0.39831,                0.40208,                0.30907,                0.06599,                 2.9825,                 1.5701,                 1.3021,              0.0099952,              0.0099952,              0.0099952
                     44,                 2.9254,                   1.52,                 1.3423,                0.59044,                 0.5395,                  0.549,                0.15586,                 2.7261,                 1.3269,                 1.2414,               0.009995,               0.009995,               0.009995
                     45,                 3.0411,                 1.4826,                  1.332,                0.48743,                0.47279,                0.41319,                0.09601,                 2.9507,                 1.3816,                 1.2826,              0.0099947,              0.0099947,              0.0099947
                     46,                 2.9404,                 1.4477,                 1.3117,                0.62644,                0.59169,                0.60528,                0.16807,                 2.6365,                 1.3034,                 1.2134,              0.0099945,              0.0099945,              0.0099945
                     47,                 2.8869,                 1.4889,                 1.2714,                0.56086,                0.57929,                0.56319,                0.15003,                 2.6226,                 1.4466,                 1.2049,              0.0099943,              0.0099943,              0.0099943
                     48,                 2.8326,                 1.5617,                 1.2727,                0.56086,                0.57929,                0.56319,                0.15003,                 2.6226,                 1.4466,                 1.2049,               0.009994,               0.009994,               0.009994
                     49,                 2.8046,                 1.6246,                 1.2812,                0.59631,                 0.5553,                0.55811,                0.14491,                 2.6324,                 1.3639,                 1.2108,              0.0099937,              0.0099937,              0.0099937
                     50,                 2.7275,                 1.5671,                 1.2049,                0.55614,                0.63429,                0.62694,                0.19835,                 2.4675,                 1.5598,                 1.1379,              0.0099935,              0.0099935,              0.0099935
                     51,                 2.7441,                 1.5954,                 1.1944,                0.53869,                  0.512,                 0.4578,                0.10877,                  2.725,                 1.4093,                  1.223,              0.0099932,              0.0099932,              0.0099932
                     52,                 2.7688,                 1.4268,                 1.2167,                0.53869,                  0.512,                 0.4578,                0.10877,                  2.725,                 1.4093,                  1.223,              0.0099929,              0.0099929,              0.0099929
                     53,                 2.7016,                 1.4601,                 1.2254,                 0.6902,                0.63615,                0.68045,                0.24277,                 2.3449,                  1.237,                 1.1265,              0.0099927,              0.0099927,              0.0099927
                     54,                 2.6573,                  1.466,                 1.2196,                0.57842,                0.58982,                0.54762,                0.14777,                 2.6439,                 1.4114,                 1.2096,              0.0099924,              0.0099924,              0.0099924
                     55,                 2.5719,                 1.4865,                 1.1923,                0.68014,                0.60717,                0.66184,                0.21317,                 2.3321,                 1.1709,                 1.1146,              0.0099921,              0.0099921,              0.0099921
                     56,                 2.6187,                 1.3216,                 1.1709,                0.45221,                0.44412,                0.33938,                0.07376,                  2.947,                 1.4139,                 1.2936,              0.0099918,              0.0099918,              0.0099918
                     57,                 3.0639,                 1.4455,                 1.2874,                0.45221,                0.44412,                0.33938,                0.07376,                  2.947,                 1.4139,                 1.2936,              0.0099915,              0.0099915,              0.0099915
                     58,                 2.6616,                 1.3583,                 1.1975,                0.61966,                0.59773,                0.62694,                0.19272,                 2.4395,                 1.2234,                 1.1311,              0.0099912,              0.0099912,              0.0099912
                     59,                 2.5865,                  1.349,                 1.1525,                0.67567,                0.63546,                0.67302,                0.23272,                 2.2216,                 1.1661,                 1.1116,              0.0099909,              0.0099909,              0.0099909
                     60,                 2.6774,                 1.3981,                  1.166,                0.34423,                  0.323,                0.24366,                 0.0546,                 3.2033,                 1.4371,                 1.2774,              0.0099906,              0.0099906,              0.0099906
                     61,                 2.7828,                 1.4068,                 1.1713,                0.34423,                  0.323,                0.24366,                 0.0546,                 3.2033,                 1.4371,                 1.2774,              0.0099902,              0.0099902,              0.0099902
                     62,                 2.7674,                 1.3187,                 1.1659,                0.68849,                0.66121,                0.68089,                0.24657,                 2.3462,                 1.1431,                 1.1261,              0.0099899,              0.0099899,              0.0099899
                     63,                 2.6368,                 1.3168,                 1.1565,                0.60758,                0.60211,                0.59843,                0.16762,                 2.5333,                 1.2423,                 1.1426,              0.0099896,              0.0099896,              0.0099896
                     64,                 2.6631,                 1.3125,                 1.1462,                0.67852,                0.64962,                0.68204,                0.25224,                 2.2816,                 1.1295,                 1.1074,              0.0099892,              0.0099892,              0.0099892
                     65,                 2.5783,                 1.2833,                 1.1526,                0.66204,                0.61552,                0.66525,                 0.2126,                 2.2984,                 1.1692,                 1.0834,              0.0099889,              0.0099889,              0.0099889
                     66,                  2.531,                 1.3014,                 1.1141,                0.66204,                0.61552,                0.66525,                 0.2126,                 2.2984,                 1.1692,                 1.0834,              0.0099885,              0.0099885,              0.0099885
                     67,                  2.529,                 1.2764,                 1.1506,                0.63348,                0.60072,                0.62844,                0.18639,                 2.5545,                 1.2051,                 1.1561,              0.0099882,              0.0099882,              0.0099882
                     68,                 2.5217,                 1.2438,                 1.1455,                 0.6822,                0.65315,                 0.7103,                0.25737,                 2.2074,                 1.1374,                 1.0755,              0.0099878,              0.0099878,              0.0099878
                     69,                  2.695,                 1.2903,                 1.1467,                0.55528,                0.48585,                0.49495,                0.12884,                 2.6989,                 1.2932,                 1.1765,              0.0099875,              0.0099875,              0.0099875
                     70,                 2.6156,                 1.3352,                 1.1705,                0.69957,                0.67934,                0.71698,                0.26958,                 2.1562,                 1.1128,                 1.0721,              0.0099871,              0.0099871,              0.0099871
                     71,                  2.496,                 1.2471,                 1.1386,                0.69957,                0.67934,                0.71698,                0.26958,                 2.1562,                 1.1128,                 1.0721,              0.0099867,              0.0099867,              0.0099867
                     72,                 2.5416,                 1.2902,                 1.1692,                0.60123,                0.60562,                 0.5972,                0.15604,                  2.608,                 1.2598,                 1.1631,              0.0099863,              0.0099863,              0.0099863
                     73,                 2.5712,                  1.249,                 1.1357,                 0.6518,                0.63663,                0.67367,                0.21377,                 2.4013,                 1.1546,                 1.1106,              0.0099859,              0.0099859,              0.0099859
                     74,                 2.4784,                 1.2251,                 1.1461,                0.68645,                0.67894,                0.70546,                0.23044,                 2.3055,                 1.1622,                 1.0928,              0.0099855,              0.0099855,              0.0099855
                     75,                 2.6612,                 1.2764,                 1.1854,                0.68645,                0.67894,                0.70546,                0.23044,                 2.3055,                 1.1622,                 1.0928,              0.0099851,              0.0099851,              0.0099851
                     76,                 2.5103,                 1.2704,                 1.1118,                0.47639,                  0.436,                0.40653,                0.10625,                 2.8074,                 1.2639,                 1.1575,              0.0099847,              0.0099847,              0.0099847
                     77,                  2.441,                 1.2222,                  1.098,                0.70938,                0.68403,                0.72845,                0.26199,                 2.1987,                 1.1668,                  1.067,              0.0099843,              0.0099843,              0.0099843
                     78,                 2.3895,                 1.1965,                 1.1098,                0.60595,                0.55607,                0.57905,                0.16054,                 2.5729,                 1.1609,                  1.103,              0.0099839,              0.0099839,              0.0099839
                     79,                 2.4867,                 1.2374,                 1.1069,                0.72211,                0.69456,                0.73916,                0.27055,                 2.2322,                 1.0704,                 1.0777,              0.0099835,              0.0099835,              0.0099835
                     80,                 2.5662,                 1.1958,                 1.1213,                0.72211,                0.69456,                0.73916,                0.27055,                 2.2322,                 1.0704,                 1.0777,              0.0099831,              0.0099831,              0.0099831
                     81,                 2.5172,                 1.2067,                 1.0737,                0.57554,                0.49971,                0.49745,                0.14351,                 2.5564,                 1.2107,                  1.103,              0.0099826,              0.0099826,              0.0099826
                     82,                 2.4407,                 1.1987,                 1.1007,                0.73361,                0.69924,                 0.7346,                0.28059,                 2.1899,                 1.0466,                 1.0754,              0.0099822,              0.0099822,              0.0099822
                     83,                 2.3876,                 1.1572,                 1.1056,                0.56785,                0.53891,                0.55366,                0.16284,                 2.4474,                 1.1938,                 1.0861,              0.0099818,              0.0099818,              0.0099818
                     84,                 2.4443,                 1.1999,                 1.0697,                0.56785,                0.53891,                0.55366,                0.16284,                 2.4474,                 1.1938,                 1.0861,              0.0099813,              0.0099813,              0.0099813
                     85,                 2.4579,                 1.2365,                 1.1052,                0.65574,                0.61088,                0.64795,                0.18415,                  2.424,                 1.2145,                 1.0942,              0.0099809,              0.0099809,              0.0099809
                     86,                 2.4801,                 1.1906,                 1.1397,                0.75062,                0.71094,                0.76892,                0.30121,                 2.1378,                 1.0285,                  1.067,              0.0099804,              0.0099804,              0.0099804
                     87,                 2.4268,                 1.1942,                 1.1361,                0.70319,                0.67876,                0.72008,                0.24962,                  2.288,                 1.1231,                 1.1062,              0.0099799,              0.0099799,              0.0099799
                     88,                 2.4592,                 1.1728,                 1.0948,                0.60428,                0.60402,                0.62659,                0.19635,                 2.3493,                 1.1228,                 1.0721,              0.0099795,              0.0099795,              0.0099795
                     89,                 2.4281,                 1.2017,                 1.1335,                0.60428,                0.60402,                0.62659,                0.19635,                 2.3493,                 1.1228,                 1.0721,               0.009979,               0.009979,               0.009979
                     90,                  2.305,                 1.1105,                 1.0799,                 0.7442,                0.71679,                0.77853,                0.30698,                 2.1013,                 1.0299,                 1.0546,              0.0099785,              0.0099785,              0.0099785
                     91,                 2.3951,                 1.1328,                 1.1263,                0.73137,                0.69619,                0.74598,                0.25205,                  2.321,                 1.0767,                  1.107,               0.009978,               0.009978,               0.009978
                     92,                 2.5557,                 1.1567,                 1.1366,                0.76563,                0.74722,                0.80727,                0.33464,                 1.9966,                0.99972,                 1.0392,              0.0099775,              0.0099775,              0.0099775
                     93,                 2.2985,                 1.0762,                 1.0546,                0.76563,                0.74722,                0.80727,                0.33464,                 1.9966,                0.99972,                 1.0392,               0.009977,               0.009977,               0.009977
                     94,                 2.7917,                 1.2397,                 1.2171,                0.57424,                0.48332,                0.48351,                0.11127,                  3.025,                 1.2944,                 1.3293,              0.0099765,              0.0099765,              0.0099765
                     95,                 2.3998,                 1.1444,                 1.1056,                0.67476,                0.64073,                0.69265,                 0.2456,                 2.2285,                 1.0578,                 1.0756,               0.009976,               0.009976,               0.009976
                     96,                 2.4119,                 1.1364,                 1.1024,                0.77057,                0.69767,                0.77455,                0.30301,                 2.1229,                 1.0053,                 1.0655,              0.0099755,              0.0099755,              0.0099755
                     97,                 2.5496,                 1.1621,                  1.129,                0.74041,                0.72967,                0.79757,                0.28624,                 2.1056,                   1.05,                 1.0396,               0.009975,               0.009975,               0.009975
                     98,                 2.2676,                 1.1245,                 1.0648,                0.74041,                0.72967,                0.79757,                0.28624,                 2.1056,                   1.05,                 1.0396,              0.0099745,              0.0099745,              0.0099745
                     99,                 2.2772,                 1.1132,                 1.0778,                0.76148,                0.73084,                0.79677,                0.32209,                 1.9887,                 1.0017,                  1.056,               0.009974,               0.009974,               0.009974
                    100,                 2.3909,                 1.1075,                 1.0696,                0.69469,                0.66706,                0.69694,                0.22036,                 2.3638,                 1.0491,                 1.0809,              0.0099734,              0.0099734,              0.0099734
                    101,                 2.3501,                 1.1055,                 1.1184,                0.78552,                0.74792,                0.81215,                0.31683,                 2.1053,                0.96968,                 1.0594,              0.0099729,              0.0099729,              0.0099729
                    102,                 2.2592,                 1.0315,                 1.0704,                0.74223,                0.72147,                0.77236,                 0.2914,                 2.1629,                0.97408,                 1.0461,              0.0099723,              0.0099723,              0.0099723
                    103,                 2.3343,                 1.0592,                   1.06,                0.74223,                0.72147,                0.77236,                 0.2914,                 2.1629,                0.97408,                 1.0461,              0.0099718,              0.0099718,              0.0099718
                    104,                  2.274,                 1.0392,                 1.0735,                 0.7847,                0.76302,                0.81438,                0.31338,                 2.0836,                0.97192,                 1.0604,              0.0099712,              0.0099712,              0.0099712
                    105,                 2.3107,                 1.0582,                 1.0539,                0.65529,                0.64739,                0.66642,                0.23516,                 2.2427,                  1.019,                 1.0569,              0.0099707,              0.0099707,              0.0099707
                    106,                 2.2797,                   1.07,                 1.0534,                0.79674,                0.75015,                 0.8233,                 0.3475,                 1.9926,                0.92888,                 1.0378,              0.0099701,              0.0099701,              0.0099701
                    107,                 2.3626,                 1.0371,                 1.0619,                0.79674,                0.75015,                 0.8233,                 0.3475,                 1.9926,                0.92888,                 1.0378,              0.0099695,              0.0099695,              0.0099695
                    108,                 2.2209,                 1.0817,                 1.0511,                0.79759,                 0.7203,                0.81416,                0.31962,                 2.0945,                 1.0203,                  1.046,               0.009969,               0.009969,               0.009969
                    109,                  2.238,                 1.0694,                 1.0782,                0.80896,                0.75307,                0.83517,                0.36906,                 1.9225,                0.91846,                 1.0296,              0.0099684,              0.0099684,              0.0099684
                    110,                 2.2965,                 1.0522,                 1.0619,                0.70418,                0.64658,                0.70339,                0.23155,                 2.3253,                 1.0406,                 1.0764,              0.0099678,              0.0099678,              0.0099678
                    111,                 2.2546,                  1.049,                 1.0623,                0.80715,                0.75073,                0.82942,                0.35863,                 1.9864,                0.92552,                  1.041,              0.0099672,              0.0099672,              0.0099672
                    112,                 2.3388,                 1.0175,                 1.0574,                0.80715,                0.75073,                0.82942,                0.35863,                 1.9864,                0.92552,                  1.041,              0.0099666,              0.0099666,              0.0099666
                    113,                 2.2376,                  1.104,                 1.0713,                0.75058,                0.67794,                0.75843,                0.29462,                 2.0623,                  1.063,                  1.041,               0.009966,               0.009966,               0.009966
                    114,                 2.1883,                 1.0499,                  1.081,                0.79058,                0.71153,                0.79168,                0.31098,                  2.203,                0.96885,                 1.0816,              0.0099654,              0.0099654,              0.0099654
                    115,                 2.1983,                 1.0095,                 1.0611,                0.79059,                0.74956,                0.83879,                0.34394,                 1.9112,                0.93415,                 1.0124,              0.0099648,              0.0099648,              0.0099648
                    116,                 2.1601,                 1.0205,                 1.0352,                0.79059,                0.74956,                0.83879,                0.34394,                 1.9112,                0.93415,                 1.0124,              0.0099641,              0.0099641,              0.0099641
                    117,                 2.4196,                 1.1249,                  1.085,                0.74525,                0.67788,                0.73885,                0.22723,                 2.3598,                 1.0874,                 1.1079,              0.0099635,              0.0099635,              0.0099635
                    118,                 2.3214,                  1.115,                 1.1144,                0.80041,                0.74312,                0.80072,                0.31836,                 2.1462,                0.99228,                 1.0788,              0.0099629,              0.0099629,              0.0099629
                    119,                 2.2525,                 1.0454,                 1.0512,                0.76656,                0.73435,                0.80684,                0.32751,                 1.9964,                0.94916,                 1.0207,              0.0099623,              0.0099623,              0.0099623
                    120,                 2.1211,                 1.0059,                 1.0385,                0.80932,                0.77737,                0.84716,                0.35379,                 1.9821,                0.92049,                 1.0405,              0.0099616,              0.0099616,              0.0099616
                    121,                 2.2231,                  1.039,                 1.0882,                0.80932,                0.77737,                0.84716,                0.35379,                 1.9821,                0.92049,                 1.0405,               0.009961,               0.009961,               0.009961
                    122,                 2.1007,                0.99087,                 1.0568,                0.80808,                0.77114,                0.85043,                0.35914,                 1.9274,                0.92168,                 1.0158,              0.0099603,              0.0099603,              0.0099603
                    123,                  2.245,                 1.0117,                 1.0442,                0.80194,                0.71738,                0.80632,                0.29278,                 2.1732,                0.96039,                 1.0756,              0.0099597,              0.0099597,              0.0099597
                    124,                 2.2266,                 1.0393,                 1.0875,                0.84211,                0.78335,                0.87703,                0.39984,                 1.8431,                0.88826,                 1.0161,               0.009959,               0.009959,               0.009959
                    125,                  2.186,                0.99835,                 1.0623,                0.84211,                0.78335,                0.87703,                0.39984,                 1.8431,                0.88826,                 1.0161,              0.0099583,              0.0099583,              0.0099583
                    126,                 2.1414,                 1.0108,                 1.0578,                0.81469,                 0.7872,                0.86299,                0.35329,                  1.965,                0.89994,                 1.0253,              0.0099577,              0.0099577,              0.0099577
                    127,                  2.189,                0.99483,                 1.0553,                0.82677,                0.79345,                0.85633,                 0.3216,                 2.1521,                0.92441,                 1.0638,               0.009957,               0.009957,               0.009957
                    128,                 2.1982,                 0.9897,                 1.0588,                0.83344,                0.77592,                0.86413,                0.36596,                  1.916,                 0.8746,                 1.0146,              0.0099563,              0.0099563,              0.0099563
                    129,                 2.1634,                0.97602,                 1.0413,                0.83026,                0.75073,                 0.8408,                0.32602,                 2.0467,                0.90269,                 1.0319,              0.0099556,              0.0099556,              0.0099556
                    130,                  2.243,                0.98739,                 1.0443,                0.83026,                0.75073,                 0.8408,                0.32602,                 2.0467,                0.90269,                 1.0319,              0.0099549,              0.0099549,              0.0099549
                    131,                 2.2374,                0.99126,                 1.0654,                0.81197,                 0.7794,                0.85165,                 0.3573,                 1.9944,                0.88598,                 1.0379,              0.0099542,              0.0099542,              0.0099542
                    132,                 2.2207,                 1.0002,                 1.0715,                0.77997,                0.66823,                0.74967,                0.27074,                 2.1608,                0.95087,                 1.0515,              0.0099535,              0.0099535,              0.0099535
